id,name,price,currency,created_at,created_at_str,price_clean,price_numeric,flag_missing_price,flag_negative_price,flag_is_free,flag_luxury,flag_missing_currency
SKU-1001,Shoes,799,SEK,2024-01-10,2024-01-10,799,799.0,False,False,False,False,False
SKU-1002,Pants,520,SEK,,,520,520.0,False,False,False,False,False
SKU-1003,Shirts,450,SEK,,,450,450.0,False,False,False,False,False
,Hat,free,SEK,,,0,0.0,False,False,True,False,False
SKU-1008,Gloves,120,,2024-06-20,2024-06-20,120,120.0,False,False,False,False,True
SKU-1009,Socks,99,SEK,2024-02-01,2024-02-01,99,99.0,False,False,False,False,False
SKU-1010,Boots,1500,SEK,2024-02-15,2024-02-15,1500,1500.0,False,False,False,False,False
SKU-1011,Scarf,200,SEK,2024-03-01,2024-03-01,200,200.0,False,False,False,False,False
SKU-1012,Belt,300,SEK,,,300,300.0,False,False,False,False,False
SKU-1013,Cap,75,SEK,2024-04-01,2024-04-01,75,75.0,False,False,False,False,False
SKU-1014,T-Shirt,0,SEK,2024-04-10,2024-04-10,0,0.0,False,False,True,False,False
SKU-1016,Coat,2500,SEK,2024-05-01,2024-05-01,2500,2500.0,False,False,False,False,False
SKU-1017,Jeans,800,SEK,2024-05-05,2024-05-05,800,800.0,False,False,False,False,False
SKU-1018,Sneakers,1200,SEK,2024-05-10,2024-05-10,1200,1200.0,False,False,False,False,False
SKU-1019,Sandals,400,SEK,2024-05-15,2024-05-15,400,400.0,False,False,False,False,False
SKU-1020,Watch,15000,SEK,2024-06-01,2024-06-01,15000,15000.0,False,False,False,True,False
SKU-1021,Ring,25000,SEK,2024-06-05,2024-06-05,25000,25000.0,False,False,False,True,False
SKU-1022,Bracelet,500,SEK,2024-06-10,2024-06-10,500,500.0,False,False,False,False,False
SKU-1023,Necklace,650,SEK,2024-06-15,2024-06-15,650,650.0,False,False,False,False,False
SKU-1024,Sunglasses,900,SEK,2024-07-01,2024-07-01,900,900.0,False,False,False,False,False
SKU-1025,Backpack,1100,SEK,2024-07-05,2024-07-05,1100,1100.0,False,False,False,False,False
SKU-1026,Umbrella,300,SEK,2024-07-10,2024-07-10,300,300.0,False,False,False,False,False
SKU-1027,Winter Jacket,3500,SEK,2024-07-15,2024-07-15,3500,3500.0,False,False,False,False,False
SKU-1028,Shorts,450,SEK,2024-08-01,2024-08-01,450,450.0,False,False,False,False,False
SKU-1029,Skirt,500,SEK,2024-08-05,2024-08-05,500,500.0,False,False,False,False,False
SKU-1030,Gloves,200,SEK,2024-08-10,2024-08-10,200,200.0,False,False,False,False,False
SKU-1031,Mittens,220,SEK,2024-08-15,2024-08-15,220,220.0,False,False,False,False,False
SKU-1032,Suit,5000,SEK,2024-09-01,2024-09-01,5000,5000.0,False,False,False,False,False
SKU-1033,Tie,150,SEK,2024-09-05,2024-09-05,150,150.0,False,False,False,False,False
SKU-1034,Blazer,2200,SEK,2024-09-10,2024-09-10,2200,2200.0,False,False,False,False,False
SKU-1035,Polo,600,SEK,2024-09-15,2024-09-15,600,600.0,False,False,False,False,False
SKU-1036,Leggings,350,SEK,2024-10-01,2024-10-01,350,350.0,False,False,False,False,False
SKU-1037,Tracksuit,1200,SEK,2024-10-05,2024-10-05,1200,1200.0,False,False,False,False,False
SKU-1038,Swimsuit,700,SEK,2024-10-10,2024-10-10,700,700.0,False,False,False,False,False
SKU-1039,Coat,999999,SEK,2024-10-15,2024-10-15,999999,999999.0,False,False,False,True,False
SKU-1040,Parka,4500,SEK,2024-11-01,2024-11-01,4500,4500.0,False,False,False,False,False
SKU-1041,Beanie,180,SEK,2024-11-05,2024-11-05,180,180.0,False,False,False,False,False
SKU-1042,Earmuffs,130,SEK,2024-11-10,2024-11-10,130,130.0,False,False,False,False,False
SKU-1044,Vest,800,SEK,2024-12-01,2024-12-01,800,800.0,False,False,False,False,False
SKU-1045,Loafers,1100,SEK,2024-12-05,2024-12-05,1100,1100.0,False,False,False,False,False
SKU-1046,Sneakers,1000,SEK,2024-12-10,2024-12-10,1000,1000.0,False,False,False,False,False
SKU-1047,Heels,1500,SEK,2024-12-15,2024-12-15,1500,1500.0,False,False,False,False,False
SKU-1048,Flipflops,100,SEK,2024-12-20,2024-12-20,100,100.0,False,False,False,False,False
SKU-1049,Robe,900,SEK,2024-12-25,2024-12-25,900,900.0,False,False,False,False,False
SKU-1050,Pyjamas,600,SEK,2025-01-01,2025-01-01,600,600.0,False,False,False,False,False
SKU-1051,Suspenders,250,SEK,2025-01-05,2025-01-05,250,250.0,False,False,False,False,False
SKU-1053,Cap,85,SEK,2025-01-15,2025-01-15,85,85.0,False,False,False,False,False
SKU-1054,,450,SEK,2025-02-01,2025-02-01,450,450.0,False,False,False,False,False
SKU-1055,Scarf,300,,2025-02-05,2025-02-05,300,300.0,False,False,False,False,True
